* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  360): 2852607 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  360): 2852617 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  360): 2852618 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 2852620 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 2852640 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  360): 2852641 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 2852641 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2852643 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2852682 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 2853725 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@440daa70
V/DBox    (  360): 2853745 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  360): 2854680 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
V/DBox    (  360): 2854833 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 2860804 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder settings
V/DBox    (  360): 2860812 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2860832 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 2860834 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 2860835 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2860835 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2860848 + Lcom/fsck/k9/activity/setup/FolderSettings; onCreate
V/DBox    (  360): 2860849 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
