--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  561): 136506 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 136534 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 137211 + Lcom/facebook/katana/platform/FacebookSyncAdapterService; onCreate
V/DBox    (  561): 137212 - Lcom/facebook/katana/platform/FacebookSyncAdapterService; onCreate
V/DBox    (  561): 138281 + Lcom/facebook/katana/StreamActivity; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44196fc0
V/DBox    (  561): 138281 - Lcom/facebook/katana/StreamActivity; onCreateOptionsMenu
V/DBox    (  561): 138979 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 138987 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 138988 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 138988 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 138990 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 138991 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 138992 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 138993 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 139018 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 139019 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 139040 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 139041 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 139159 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 139160 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 140740 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  561): 140741 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 140741 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 140770 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  561): 140784 + Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  561): 140935 - Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  561): 140936 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  561): 140936 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 140937 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 140944 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  561): 140946 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 140952 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 140953 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 140958 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 140958 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 140969 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 141023 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 141024 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 141028 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 141029 - Lcom/facebook/katana/service/FacebookService; onStart
